Station_Id_C,Lat,Lon,Alti,TEM,DPT,RHU,PRE_1h,WIN_D_INST,WIN_S_INST,GST
58918,25.05,116.4167,198.0,33.3,22.7,54,0.0,303,4.3,35.1
57741,27.7303,109.1764,353.2,33.2,19.3,44,0.0,50,2.2,45.7
57633,28.8167,108.7667,826.5,27.8,19.1,59,0.0,98,3.0,36.9
57571,29.6592,112.4125,37.4,25.0,21.1,79,0.0,307,3.1,23.1
57789,27.1333,113.95,194.5,32.6,23.0,57,0.0,242,2.1,51.1
59462,22.71,111.6,60.0,29.6,24.9,76,0.0,182,2.8,28.2
57954,25.2333,110.15,222.5,33.8,17.9,39,0.0,332,3.0,36.3
59478,22.2472,112.7858,33.1,26.1,24.8,93,0.0,78,2.4,26.2
56878,24.1333,102.75,1801.8,17.2,15.0,87,0.0,999017,0.0,15.8
58507,29.25,115.1167,116.0,27.4,21.7,71,0.0,231,2.2,26.3
59856,19.6167,110.75,21.7,26.6,25.6,94,0.0,335,1.0,27.9
57758,27.0253,110.6064,339.5,32.0,21.2,53,0.0,43,1.1,38.0
59449,22.3,109.9833,85.9,28.8,24.8,79,0.0,11,2.2,35.5
56879,24.19,102.9094,1702.6,15.1,14.1,94,0.0,330,1.7,15.9
57974,25.5814,112.3653,214.5,34.4,20.4,44,0.0,320,3.7,41.7
57642,28.6808,109.6481,438.1,30.1,21.5,60,0.0,65,2.8,53.1
59290,23.7808,114.2483,85.5,24.0,23.9,100,0.0,1,1.4,24.2
59061,24.8167,111.2667,193.1,33.3,19.4,44,0.0,37,4.3,48.9
58502,29.6667,116.0167,74.8,26.8,22.0,75,0.0,272,4.9,27.8
59031,24.8167,108.2667,342.3,35.4,17.6,35,0.0,221,4.2,54.4
58548,29.2167,119.4833,50.2,27.6,23.0,76,0.0,347,1.9,27.2
57912,26.1433,106.6581,991.6,31.1,16.7,42,0.0,146,2.4,41.4
59230,23.7167,108.1167,219.0,34.1,22.2,50,0.0,17,5.1,55.2
57844,26.5139,109.2556,476.2,32.0,16.7,40,0.0,22,2.7,36.7
58848,26.2,119.55,13.4,34.6,22.7,50,0.0,261,5.9,49.9
57954,25.2333,110.15,222.5,27.9,22.6,73,0.0,360,1.6,26.4
57696,28.3833,114.7667,91.7,33.3,23.0,55,0.0,163,1.4,44.6
58500,29.9,115.2167,57.0,29.9,20.5,57,0.0,287,2.5,31.2
56490,28.9508,103.8983,424.0,23.7,23.5,99,0.0,156,0.6,24.8
56571,27.9,102.2667,1590.9,29.7,14.7,40,0.0,184,3.2,42.3
58704,27.5833,115.35,104.5,25.2,24.7,97,0.0,45,0.8,26.9
57743,27.8706,109.7961,176.6,32.6,20.8,50,0.0,114,1.8,50.2
57736,27.7161,108.8492,493.7,32.4,20.0,48,0.0,86,4.3,45.6
57889,26.0797,113.9447,835.9,22.5,21.0,91,0.0,10,0.3,23.2
57545,29.5278,109.4208,502.8,32.3,20.6,50,0.0,110,1.4,43.1
58715,27.5833,116.65,80.8,27.2,25.0,88,0.0,17,2.3,26.9
57781,27.6406,113.5064,74.4,28.3,20.3,62,0.0,310,2.8,26.8
57623,28.8792,107.6,685.6,25.3,20.3,74,0.0,13,1.4,35.4
58912,25.7167,116.7333,404.0,24.9,24.0,95,0.0,174,0.8,25.8
58906,25.6,115.8,167.4,27.1,23.6,81,0.0,228,1.0,26.7
58814,26.35,116.35,280.2,24.5,23.6,95,0.0,262,1.5,25.2
57949,24.9833,110.0,156.8,32.4,21.9,54,0.0,31,3.9,46.9
56973,23.6167,102.8333,1309.3,18.3,16.3,88,0.0,222,0.7,21.0
59851,19.6672,110.3378,53.3,26.8,25.8,94,0.0,196,0.9,27.5
58563,29.8833,121.8333,5.0,27.8,25.8,89,0.0,310,5.5,26.6
59854,19.3667,110.1,118.3,28.5,23.2,73,0.0,999017,0.0,31.4
59072,24.8108,112.3708,131.7,32.7,21.5,52,0.0,5,1.3,35.9
58523,29.9333,117.9333,227.5,23.2,22.4,95,0.3,238,1.4,26.7
59053,24.65,110.6333,157.6,25.8,23.5,87,0.0,68,1.1,26.6
58926,25.3,117.4167,205.3,30.4,19.1,51,0.0,222,10.9,36.1
59256,23.3667,110.9,105.5,27.6,24.4,83,0.0,258,1.3,27.3
57894,26.5833,114.1667,843.0,20.0,18.5,91,0.0,265,1.0,19.7
57516,29.5833,106.4667,259.1,29.6,20.7,59,0.0,309,1.5,43.7
56584,27.7,103.25,1093.0,21.8,20.3,91,0.0,34,0.5,22.7
59087,23.8814,113.5228,97.2,26.3,26.2,100,0.0,69,1.1,26.5
58936,25.3667,118.7,77.7,35.3,24.3,53,0.0,116,3.9,35.8
59254,23.3333,110.0333,130.3,30.9,25.0,71,0.0,98,3.4,44.4
56684,26.4022,103.2486,2188.3,20.7,13.7,64,0.0,290,8.5,36.2
57992,25.6667,114.7333,127.0,29.8,23.5,69,0.0,233,2.1,30.3
57506,29.3667,105.9,353.0,30.8,20.4,54,0.0,48,5.4,35.9
56491,28.6922,104.5053,476.9,23.3,21.9,92,1.7,264,1.8,23.5
58751,27.6667,120.5667,254.0,28.4,21.9,68,0.0,21,5.9,24.8
56774,25.5008,102.4233,1799.1,21.7,16.4,72,0.0,23,1.1,21.7
59297,23.1786,114.2564,50.2,34.7,25.4,59,0.0,327,2.0,38.6
59456,22.3469,110.925,141.4,33.7,25.3,62,0.0,263,2.3,43.7
56582,27.7475,103.8928,1176.2001,21.5,19.4,88,0.0,34,2.8,23.3
57636,28.5644,108.5042,503.2,25.3,22.8,86,0.0,342,1.1,26.3
58618,28.2667,116.6,82.4,28.3,25.9,87,0.0,343,5.3,32.3
56671,26.65,102.25,1787.3,15.0,14.7,98,0.0,190,1.2,15.0
57544,29.4581,109.4433,488.7,29.1,22.1,66,0.0,999017,0.0,30.5
58556,29.6,120.8167,104.3,26.8,23.7,83,0.0,286,4.4,27.9
57719,27.0858,106.9075,1298.9,24.1,16.1,61,0.0,145,3.2,22.8
57540,29.6844,109.1436,776.9,24.2,21.5,85,0.0,326,1.3,25.5
58735,27.5167,118.75,260.2,31.8,20.7,52,0.0,321,4.2,30.3
58847,26.0833,119.2833,84.0,34.9,23.3,51,0.0,281,2.5,55.2
59134,24.4833,118.0667,139.4,31.3,24.9,69,0.0,287,3.9,33.6
58844,26.15,119.15,57.8,25.6,24.6,94,0.0,298,1.9,24.9
57769,27.2375,111.7361,252.6,32.9,19.0,44,0.0,50,2.5,45.7
56494,28.8394,104.3319,386.5,28.3,20.6,63,0.0,317,1.8,29.0
57708,27.1314,105.5989,1721.5,27.5,14.5,45,0.0,147,3.5,58.5
57634,28.5244,107.8869,660.3,25.8,21.2,76,0.0,121,0.7,27.9
58624,28.3833,117.45,70.0,26.7,24.4,87,0.0,273,2.0,26.6
58828,26.2667,117.6167,208.2,34.5,22.2,49,0.0,172,2.3,41.3
59426,22.6167,107.9167,146.1,35.9,21.7,44,0.0,20,3.8,58.2
57544,29.4581,109.4433,488.7,32.5,20.7,50,0.0,286,3.1,45.6
57889,26.0797,113.9447,835.9,25.8,19.4,68,0.0,999017,0.0,29.6
57589,29.2739,113.8786,146.2,23.0,22.8,99,0.0,71,0.6,23.6
57973,25.7494,112.7247,329.1,27.2,19.8,64,0.0,360,2.8,32.8
59113,24.7333,116.7167,226.9,32.2,23.4,60,0.0,191,3.3,42.4
58505,29.6167,115.9,63.1,31.3,23.9,65,0.0,20,4.5,39.1
58529,29.2833,117.85,171.0,30.4,26.3,79,0.0,325,2.3,37.7
56684,26.4022,103.2486,2188.3,24.9,12.2,45,0.0,303,5.3,50.4
58537,29.1333,118.4,153.6,25.3,24.4,95,0.1,318,1.6,27.8
58822,26.8333,116.85,342.3,25.3,23.5,90,0.0,159,0.7,25.6
59268,23.2597,111.5431,70.6,33.5,24.6,60,0.0,306,2.7,50.3
56973,23.6167,102.8333,1309.3,19.0,17.3,90,0.0,135,0.9,18.0
57966,25.5944,111.9622,244.2,26.1,22.2,79,0.0,133,1.3,24.1
58537,29.1333,118.4,153.6,23.1,22.4,96,0.0,339,1.8,23.8
57600,28.7119,105.0603,420.9,27.8,20.1,63,0.0,56,1.1,37.4
56383,29.8333,103.8667,455.2,27.2,20.3,66,0.0,125,2.7,34.1
57596,29.6347,114.2053,751.6,25.9,19.5,68,0.0,3,3.0,33.5
59256,23.3667,110.9,105.5,31.7,23.0,60,0.0,278,2.5,30.7
59057,24.1333,110.1833,830.9,19.1,18.9,99,0.0,343,0.4,18.3
59074,24.5728,112.0728,300.6,23.4,23.3,100,0.0,61,0.9,24.2
56499,28.3833,104.7833,368.2,21.5,20.7,95,0.0,197,3.1,23.8
58844,26.15,119.15,57.8,35.4,24.0,52,0.0,217,5.4,50.8
57876,26.4278,112.8294,135.0,30.2,20.2,55,0.0,26,2.7,29.1
59126,24.5,117.65,28.9,28.3,24.1,78,0.0,318,2.6,26.0
57834,26.6833,108.3,641.3,32.1,17.2,41,0.0,77,1.4,38.1
56383,29.8333,103.8667,455.2,24.4,23.0,92,0.0,258,1.7,23.6
57565,29.6675,111.7258,38.1,24.6,22.7,89,0.0,293,2.1,24.5
57586,29.54,114.0386,78.5,33.1,20.3,47,0.0,28,3.1,55.1
58734,27.3333,118.1167,196.9,27.3,22.9,77,0.0,290,1.4,26.5
57735,27.185,108.8236,423.0,22.2,19.7,86,0.0,178,1.3,29.1
58907,25.15,115.4,305.0,29.8,23.5,69,0.0,9,3.2,32.2
59218,23.1,106.45,724.7,30.7,20.0,53,0.0,332,4.4,54.0
57760,27.7,111.4333,249.2,23.8,21.7,88,0.0,332,1.6,23.0
57824,26.5883,107.2489,1056.2001,19.0,18.3,96,0.0,999017,0.0,20.0
59059,24.1833,110.8,105.8,28.3,23.0,73,0.0,272,0.9,29.1
57575,29.5364,112.5981,49.5,30.6,21.7,59,0.0,9,6.0,43.9
59045,24.5,109.7833,131.5,33.4,20.9,48,0.0,34,1.4,38.3
57508,29.15,105.3667,301.0,25.5,19.6,70,0.0,133,1.8,30.0
57646,28.6244,109.9661,302.1,23.2,22.9,98,0.0,267,1.2,23.3
58512,29.8933,116.5447,99.1,25.8,24.8,94,23.3,102,3.0,27.2
57678,28.2544,112.555,74.7,27.2,23.7,81,0.0,336,2.3,33.6
56889,24.0442,104.1828,1518.7001,26.2,16.2,54,0.0,252,1.8,38.3
58566,29.3833,121.9167,4.5,30.4,24.5,71,0.0,6,8.2,37.5
57575,29.5364,112.5981,49.5,32.5,18.3,43,0.0,345,5.3,47.7
56876,24.2864,102.7628,1731.1,16.2,14.7,91,0.0,176,1.2,14.6
57545,29.5278,109.4208,502.8,25.1,22.2,84,0.0,248,1.2,25.2
57903,25.9403,105.5961,1142.0,28.5,15.4,45,0.0,117,3.9,35.7
59425,22.3833,107.3833,195.8,36.5,20.7,40,0.0,318,5.8,51.0
57978,25.2731,112.5464,292.0,24.3,19.6,75,0.0,342,0.8,22.6
59435,22.6833,108.45,106.9,27.7,23.9,80,0.0,295,0.9,28.5
57955,25.6167,110.6667,224.0,24.7,21.4,82,0.0,999017,0.0,24.2
56478,28.3,102.4333,1818.1,21.1,17.7,81,0.0,71,1.6,19.9
56880,24.8922,103.1356,1639.5,15.5,15.3,99,0.0,136,1.1,15.6
56287,29.9833,103.0,627.6,24.8,20.3,76,0.0,224,1.6,27.9
57762,27.7053,111.6786,249.2,31.1,21.6,57,0.0,12,2.5,38.4
57996,25.0806,114.255,149.7,24.9,24.8,100,0.0,172,1.3,26.5
58647,28.0833,119.1333,222.1,31.3,21.2,55,0.0,104,3.2,37.6
59475,22.4036,112.6517,29.3,25.8,24.7,94,0.0,335,1.0,26.4
56889,24.0442,104.1828,1518.7001,20.1,16.7,81,0.0,999017,0.1,17.5
57845,26.1667,109.7833,397.5,27.5,20.6,66,0.0,25,3.2,42.0
56882,24.9086,102.8258,1976.6,24.6,12.9,48,0.0,277,3.4,31.2
59127,24.4333,117.8333,32.1,31.2,25.1,70,0.0,323,4.1,44.4
59230,23.7167,108.1167,219.0,33.6,19.7,44,0.0,23,1.5,33.4
58744,27.455,119.5022,845.2,21.5,18.3,82,0.0,262,1.6,20.1
57927,24.9667,107.1833,287.3,27.2,21.5,71,0.0,218,0.9,26.4
59130,24.7728,118.1775,45.6,36.0,23.9,50,0.0,158,4.6,51.5
56881,24.7503,103.2636,1695.8,16.1,15.9,99,0.0,250,1.3,15.4
56387,29.2281,103.2614,642.2,19.7,19.5,99,0.0,233,0.6,21.4
58826,26.4,117.8,120.6,28.8,23.0,71,0.0,239,4.9,28.8
59051,24.7667,110.5,136.7,29.9,23.4,68,0.0,281,1.1,43.8
56395,29.5167,104.6667,351.1,27.3,20.6,67,0.0,354,3.1,29.5
59303,23.9114,115.7514,135.9,25.1,24.0,94,0.0,185,1.1,26.1
59065,24.4167,111.5,148.7,34.7,21.7,47,0.0,292,4.6,44.1
59940,18.7494,109.1639,155.0,24.9,24.0,95,0.0,35,1.6,26.3
57942,25.8,110.0,268.0,21.4,19.3,88,0.0,169,2.8,20.1
59941,18.7667,109.5167,328.5,24.5,23.6,95,0.0,15,1.0,24.6
58820,26.9,117.1667,342.9,34.2,22.3,50,0.0,321,1.6,44.5
59254,23.3333,110.0333,130.3,26.5,21.7,75,0.0,3,5.2,26.3
56497,28.1092,104.2425,448.8,23.0,22.8,99,0.1,166,0.6,23.8
57583,29.9167,113.9667,61.7,29.6,20.2,57,0.0,30,2.7,44.3
59653,21.9425,110.8592,77.0,26.5,25.8,96,0.0,287,1.4,26.4
59640,21.6667,109.1833,5.5,27.4,25.0,87,0.0,999017,0.0,30.5
57989,25.0589,113.7631,112.7,32.0,23.5,61,0.0,325,1.3,50.4
57540,29.6844,109.1436,776.9,22.1,20.6,91,0.0,215,1.3,22.1
58712,27.9167,116.7833,130.2,29.9,25.0,75,0.0,346,4.4,32.5
59053,24.65,110.6333,157.6,31.5,22.8,60,0.0,218,1.7,44.7
59125,24.3833,117.3,108.5,24.0,23.1,95,0.0,326,1.9,23.9
57518,29.3333,106.5,506.1,26.7,20.5,69,0.0,295,5.0,26.5
57822,26.9,107.9,825.0,21.3,18.1,82,0.0,184,1.4,22.2
59046,24.3667,109.4667,306.0,24.7,21.4,82,0.0,357,3.6,24.8
59847,19.2667,109.05,98.1,27.5,25.1,87,0.0,124,1.8,28.8
56383,29.8333,103.8667,455.2,25.0,22.3,85,0.0,247,1.5,24.1
56478,28.3,102.4333,1818.1,17.9,16.1,89,0.0,88,3.2,17.3
58606,28.5833,115.9,47.2,32.4,24.4,63,0.0,14,3.5,39.4
56671,26.65,102.25,1787.3,17.5,17.0,97,0.0,181,1.6,21.1
57818,26.0117,106.4431,1186.7001,27.9,15.6,47,0.0,162,3.5,43.4
57821,26.7031,107.5044,924.8,31.0,16.2,41,0.0,203,1.9,58.5
59122,24.6167,117.75,43.0,33.6,25.3,62,0.0,167,2.6,49.9
58750,27.7833,120.0833,105.4,34.9,20.1,42,0.0,9,6.2,47.3
57586,29.54,114.0386,78.5,32.2,20.1,49,0.0,62,2.8,40.2
57910,25.7667,106.0833,1197.6,22.2,18.8,81,0.0,319,0.6,21.7
57680,28.8564,113.1069,82.5,31.5,23.9,64,0.0,29,4.9,48.5
57768,27.3411,111.4464,294.1,23.4,22.7,96,0.0,78,0.4,23.3
59126,24.5,117.65,28.9,28.3,23.9,77,0.0,298,1.5,25.9
56598,27.0919,104.69,1629.6,18.6,16.2,86,0.0,165,2.3,19.1
57663,28.9203,111.9583,31.9,25.8,23.5,87,0.0,231,0.9,26.1
58944,25.5167,119.7833,32.4,29.0,25.0,79,0.0,197,2.3,29.1
57909,24.9833,105.8167,584.8,20.7,19.2,91,0.0,999017,0.0,20.6
57612,29.0,106.65,474.7,30.7,20.3,54,0.0,267,4.3,32.0
58567,29.3167,121.4333,39.3,28.7,25.1,81,0.0,341,2.9,32.9
57887,26.1269,113.1144,167.6,26.8,21.1,71,0.0,999017,0.0,26.7
56394,29.45,104.4333,384.1,28.5,21.0,64,0.0,71,2.4,43.4
59278,22.9906,112.4786,60.0,26.4,26.2,99,0.0,295,1.5,26.1
58527,29.3,117.2,61.5,25.9,25.9,100,0.0,156,1.0,25.1
58746,27.55,119.7,538.9,31.3,20.9,54,0.0,65,6.8,45.0
56390,29.6667,104.0667,404.4,26.8,21.3,72,0.0,357,3.3,27.8
58750,27.7833,120.0833,105.4,31.1,21.3,56,0.0,289,3.5,34.2
56777,25.1144,102.0997,1671.4,17.2,14.3,83,0.0,102,1.1,17.7
58514,29.45,116.0333,37.1,26.8,22.4,77,0.0,321,2.1,26.2
58714,27.55,116.2333,120.4,24.3,24.0,98,0.0,128,1.1,25.7
59082,24.6667,113.6,121.3,24.5,23.9,97,0.0,140,1.6,24.9
57741,27.7303,109.1764,353.2,29.2,20.4,59,0.0,43,1.7,29.1
56671,26.65,102.25,1787.3,24.8,14.3,52,0.0,184,1.9,30.3
59493,22.5417,114.0033,63.0,27.6,24.8,85,0.0,214,0.7,26.6
58618,28.2667,116.6,82.4,32.8,25.1,64,0.0,210,4.9,49.6
57669,28.3833,111.2167,128.3,32.9,21.4,51,0.0,139,2.8,50.9
58843,26.8833,120.0167,56.8,34.6,22.7,50,0.0,111,5.1,43.2
58845,26.5,119.55,78.5,24.6,23.2,92,0.0,293,1.6,24.5
59473,22.7372,112.9811,47.3,36.3,23.8,49,0.0,280,3.4,50.8
59280,23.7106,113.085,79.2,34.3,24.5,57,0.0,36,1.2,42.4
58912,25.7167,116.7333,404.0,23.0,22.8,99,0.0,31,1.4,23.2
57723,27.9833,107.7167,710.2,26.8,20.9,70,0.0,999017,0.0,30.8
56989,22.5,103.95,137.8,30.2,25.3,75,0.0,315,1.0,29.9
58746,27.55,119.7,538.9,21.7,20.5,93,0.0,165,1.6,23.7
58543,29.6167,119.0167,171.4,24.8,23.8,94,0.0,320,2.4,24.7
59317,22.9836,116.3014,42.0,30.5,26.8,81,0.0,218,7.6,40.6
56386,29.5647,103.7553,424.2,28.7,20.2,60,0.0,45,3.0,35.6
59063,25.1819,111.5703,265.7,25.1,20.6,76,0.0,351,1.2,23.6
56986,22.9833,103.6833,1414.1,20.6,17.8,84,0.0,999017,0.0,20.1
57908,25.1167,105.4833,1394.5,16.2,15.2,94,0.0,86,0.9,15.2
57989,25.0589,113.7631,112.7,34.3,23.9,55,0.0,340,3.8,55.7
59227,23.1167,107.1333,454.2,22.8,21.1,90,0.0,281,1.1,23.5
57583,29.9167,113.9667,61.7,26.6,22.2,77,0.0,338,2.4,25.9
57772,27.75,112.5061,86.9,33.0,21.5,51,0.0,355,4.1,52.1
57729,27.2328,107.8828,622.1,32.9,18.3,42,0.0,200,2.5,55.8
57699,28.2333,114.9667,93.4,26.0,22.1,79,0.0,272,3.8,26.1
57714,27.4667,106.2333,942.0,33.5,15.9,35,0.0,64,4.8,44.8
58746,27.55,119.7,538.9,29.7,19.7,55,0.0,328,4.4,29.1
56898,24.1836,102.4075,1600.0,13.9,13.1,95,0.0,270,1.6,14.2
59485,22.5,113.4,33.7,34.1,26.0,63,0.0,132,1.8,43.5
59663,21.8453,111.9783,90.3,27.8,25.0,85,0.0,308,4.4,26.8
58501,29.9167,115.6333,23.5,33.7,23.1,54,0.0,290,4.9,54.4
58929,25.0667,118.2,130.6,28.1,24.7,82,0.0,205,1.4,26.1
59107,24.1142,115.2758,179.6,25.4,24.0,92,0.0,220,1.8,25.0
57719,27.0858,106.9075,1298.9,21.9,18.7,82,0.0,44,1.7,30.8
57605,28.0333,105.8167,537.7,25.7,20.7,74,0.0,309,2.0,25.7
57658,28.0,110.2,152.8,26.9,25.7,93,0.0,242,1.0,27.7
56984,23.3894,103.1458,1848.8,20.5,15.9,75,0.0,3,4.8,41.4
57737,27.0308,108.1217,547.3,29.2,19.5,56,0.0,209,1.8,39.8
57990,25.7,114.3167,280.0,24.0,23.1,95,0.0,68,1.6,25.7
57635,28.3667,109.0167,548.7,31.2,20.8,54,0.0,111,4.1,42.8
57798,27.3833,114.6,85.9,25.7,22.4,82,0.0,309,2.4,26.6
59485,22.5,113.4,33.7,25.2,23.9,93,0.0,198,1.0,26.2
56973,23.6167,102.8333,1309.3,21.3,15.8,71,0.0,48,1.5,33.5
58713,27.7167,117.0667,225.1,25.6,24.7,95,0.0,999017,0.0,26.7
59631,21.7833,108.35,32.4,28.1,27.2,95,0.0,17,1.1,27.6
58652,28.8667,120.7167,83.0,26.9,23.4,81,0.0,999017,0.1,25.8
58845,26.5,119.55,78.5,25.6,23.7,89,0.0,295,2.5,26.6
57827,26.3228,107.5139,967.7,25.2,17.7,63,0.0,9,1.4,25.1
57511,29.85,106.45,240.8,26.2,21.4,75,0.0,360,1.8,26.3
57969,25.2761,111.3094,269.0,29.3,20.2,58,0.0,44,0.3,31.3
59626,21.5667,107.95,56.8,27.0,24.8,88,0.0,343,5.5,30.0
59635,21.6667,108.4,49.3,33.1,26.9,70,0.0,222,6.1,35.3
56775,25.55,102.45,1750.9,26.4,12.8,43,0.0,247,2.9,36.5
58631,28.9,118.5,137.0,31.1,21.9,58,0.0,319,1.1,29.0
56578,27.0667,102.75,993.6,20.7,20.4,98,0.0,999017,0.1,22.8
57809,26.0667,105.75,1251.0,28.1,17.3,52,0.0,154,1.9,56.2
58734,27.3333,118.1167,196.9,35.3,23.3,50,0.0,256,2.1,56.1
57625,28.5364,107.4583,816.4,21.6,21.3,98,0.0,187,1.5,26.3
57589,29.2739,113.8786,146.2,23.7,23.5,99,0.0,173,1.4,24.3
59659,21.7494,110.9122,33.5,27.3,26.2,94,0.0,57,0.7,27.9
56995,23.0186,104.3992,1332.9,18.3,18.1,99,0.0,22,0.5,17.6
58639,28.85,118.0167,237.0,22.7,22.2,97,0.0,39,0.9,22.7
57582,29.72,113.8667,46.9,27.8,22.1,71,0.0,208,1.1,26.7
58932,25.8667,118.9333,85.6,34.2,23.9,55,0.0,110,2.4,32.9
56994,23.3322,104.2767,1293.5,21.0,19.7,92,0.0,290,0.6,20.7
59061,24.8167,111.2667,193.1,31.1,20.4,53,0.0,28,4.7,42.9
59631,21.7833,108.35,32.4,33.8,24.4,58,0.0,23,2.9,42.6
57840,26.9,109.2,401.4,22.8,19.8,83,0.0,269,0.3,24.0
57828,26.5,107.5833,983.8,20.6,18.4,87,0.0,284,0.7,19.8
56371,29.8878,102.2131,1403.2001,23.9,15.9,61,0.0,309,2.0,22.3
58742,28.1,119.5667,163.0,25.8,22.5,82,0.0,120,2.0,30.1
58933,26.9167,118.9833,869.5,21.0,19.5,91,0.0,309,1.6,19.8
59241,23.9833,109.7,124.3,30.4,23.1,65,0.0,357,3.2,41.3
58607,28.5667,115.9667,31.9,31.1,23.5,64,0.0,169,2.1,35.8
56492,28.7689,104.6053,502.8,23.4,23.4,100,0.0,267,1.8,23.2
59037,23.9333,108.1,170.8,26.8,20.2,67,0.0,326,2.3,25.2
56783,25.5,103.8,1906.2001,25.1,13.0,47,0.0,143,1.0,31.1
58563,29.8833,121.8333,5.0,27.3,24.4,84,0.0,285,6.8,25.7
57771,27.9275,112.53,88.3,32.2,24.0,62,0.0,355,2.9,50.2
56586,27.3517,103.7189,1949.5,22.2,14.8,63,0.0,235,2.2,31.2
